					 Word Occurence Report
			Words with location & lines of occurence
==============================================================================
Word:                     Location:                 Lines
by                        textFile.txt              1,3,13,15,25,33,35,45,51,55,65,81,83,91,95,101,111,125,127,139,159,161,179,195,223,225,236,265,277,287,315,319,337,345,355,362,378,380,382,384,390,398,446,450,454,500,510,534,550,556,560,588,600,632,658,662,668,682,686,707,719,733,737,745
Calendar                  textFile.txt              620
call                      textFile.txt              5,9,31,57,101,165,225,319,733,737
called                    textFile.txt              1,141,244,412,741
calm                      textFile.txt              382,682
calmly                    textFile.txt              75
came                      textFile.txt              15,51,55,111,169,199,209,248,264,275,347,382,388,534,602,638,668,733,737
can                       textFile.txt              1,11,39,103,197,213,230,291,293,406,412,470,480,486,500,528,530,534,586,588,672,709,731,733
can't                     textFile.txt              17,131,248,285,289,295,500,704
candelabrum               textFile.txt              360
candor                    textFile.txt              552
cannibal                  textFile.txt              115,117
cap                       textFile.txt              380
cape                      textFile.txt              236
capers                    textFile.txt              61
capital                   textFile.txt              145
captured                  textFile.txt              658
cards                     textFile.txt              707
care                      textFile.txt              400,731
careful                   textFile.txt              650
carefully                 textFile.txt              31
caricature                textFile.txt              25
carried                   textFile.txt              3,31,55,223,345,588,608
carry                     textFile.txt              1,360
carrying                  textFile.txt              1,608
case                      textFile.txt              93,119,125,265,412,474,490,500,548,580,672,678,682,731
cases                     textFile.txt              45,704,733
cast                      textFile.txt              25
casual                    textFile.txt              151
casually                  textFile.txt              31,226
cat-like                  textFile.txt              157
cathedral                 textFile.txt              739
cattle                    textFile.txt              27
caught                    textFile.txt              57,223,372,556,737
cause                     textFile.txt              704
causes                    textFile.txt              262
cave                      textFile.txt              682,688,707,709,723
cavern                    textFile.txt              688
caverns                   textFile.txt              662
caves                     textFile.txt              25,209,682
ceased                    textFile.txt              209
Celtic                    textFile.txt              23,33
Celts                     textFile.txt              139
cemetery                  textFile.txt              733
center                    textFile.txt              5
centerpiece               textFile.txt              345
central                   textFile.txt              225,360,378
century                   textFile.txt              707
certain                   textFile.txt              89,426,534,620,682,737
certainly                 textFile.txt              79,209,376,420,460,498,528,582,600,733
chair                     textFile.txt              139,305,506,526
challenge                 textFile.txt              743
chance                    textFile.txt              5,99,125,556,674,737,739
change                    textFile.txt              179,264,390,729
changed                   textFile.txt              157,704
changes                   textFile.txt              725
channel                   textFile.txt              390
chapter                   textFile.txt              737
characteristic            textFile.txt              248
charge                    textFile.txt              713,717
charges                   textFile.txt              345
Charles                   textFile.txt              454
chase                     textFile.txt              739
cheerful                  textFile.txt              364
cheerfulness              textFile.txt              343
cheese                    textFile.txt              191
chiefly                   textFile.txt              538
child                     textFile.txt              53,600
children                  textFile.txt              442,534
chimney                   textFile.txt              682
chin                      textFile.txt              223,315
chopper                   textFile.txt              17,396,498,632
chucked                   textFile.txt              456
church                    textFile.txt              13,27
cider                     textFile.txt              566,576
cigar                     textFile.txt              145,232,244
cigar-end                 textFile.txt              240
cigarette                 textFile.txt              376
cigars                    textFile.txt              151,236
circle                    textFile.txt              5,189,362
circling                  textFile.txt              181
circulation               textFile.txt              3,733
city                      textFile.txt              111,588
civil                     textFile.txt              1
civilized                 textFile.txt              327
civilly                   textFile.txt              57
claim                     textFile.txt              364
claims                    textFile.txt              125,127
clan                      textFile.txt              23
clang                     textFile.txt              228,442
classical                 textFile.txt              345
classicism                textFile.txt              33
classify                  textFile.txt              731
Claus                     textFile.txt              534
clay                      textFile.txt              380
clean-shaven              textFile.txt              398
cleaner                   textFile.txt              498
clear                     textFile.txt              265,279,345,374,508,632,650,678
clearance                 textFile.txt              725
cleared                   textFile.txt              580,662
clearer                   textFile.txt              264,506,735
clearly                   textFile.txt              225,226,384,731
clefts                    textFile.txt              694
cleverer                  textFile.txt              466
clews                     textFile.txt              739
Cliff                     textFile.txt              3,179,225,244,470,694,696
cliffs                    textFile.txt              264,293
climb                     textFile.txt              195,341
climbed                   textFile.txt              662,737
climbing                  textFile.txt              55,360
clinched                  textFile.txt              398
cloak                     textFile.txt              55,151
cloister                  textFile.txt              236,246
close                     textFile.txt              27,199,386
closely                   textFile.txt              498,612
closer                    textFile.txt              51,225,376,398,470
closing                   textFile.txt              739
clothes                   textFile.txt              3,55,119,398,644,696
cloud                     textFile.txt              25,660
clouds                    textFile.txt              508,656
cloven                    textFile.txt              386,694
club                      textFile.txt              189,215,380,733
clump                     textFile.txt              27,53,264
coast                     textFile.txt              3,15,25,37,99,111,195,608,731
coat                      textFile.txt              55,236,658
cobbles                   textFile.txt              345,584
Cockney                   textFile.txt              642
coils                     textFile.txt              510
coincidence               textFile.txt              733
cold                      textFile.txt              355
coldness                  textFile.txt              680
collar                    textFile.txt              658
collaring                 textFile.txt              628
collect                   textFile.txt              97,99,580
collected                 textFile.txt              103
collection                textFile.txt              590
collided                  textFile.txt              662
Colman                    textFile.txt              248
colons                    textFile.txt              33
color                     textFile.txt              101,608
colored                   textFile.txt              345,508,554,568
colors                    textFile.txt              27,189,345,560
colossal                  textFile.txt              500,733
columns                   textFile.txt              27
combed                    textFile.txt              23
combination               textFile.txt              678
combine                   textFile.txt              398
come                      textFile.txt              17,31,49,55,59,89,123,279,353,364,394,512,538,540,608,632,650,656
comes                     textFile.txt              103,117,232,285,678,686
comfortable               textFile.txt              696
comic                     textFile.txt              265
coming                    textFile.txt              55,173,323,362,386,394,598,656
comitted                  textFile.txt              592
commas                    textFile.txt              33
committed                 textFile.txt              462,594
common                    textFile.txt              15,55,137,139,265,380,538,540,608,640,704
common-sense              textFile.txt              735
commonplace               textFile.txt              265
communities               textFile.txt              275
companion                 textFile.txt              238,315,416,608
companionable             textFile.txt              189
companions                textFile.txt              111,265,287
companionship             textFile.txt              412
company                   textFile.txt              189
comparative               textFile.txt              265
comparatively             textFile.txt              119,362
compare                   textFile.txt              733
compared                  textFile.txt              731
comparing                 textFile.txt              733
comparison                textFile.txt              25
compassion                textFile.txt              588
complain                  textFile.txt              733
complete                  textFile.txt              474,476,490
completed                 textFile.txt              737
composed                  textFile.txt              5,510
